,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
111,dev-111,Tom has put different kinds of materials in the furnace.,Only beryllium has been left.,Beryllium is the only stable light metal with a relatively high melting point.,why does Tom has put different kinds of materials in the furnace cause Only beryllium has been left?,why has only beryllium been left in the furnace?,what kind of beryllium is left in the furnace?,why does Tom has put different kinds of materials in the furnace cause Only beryllium has been left?,why has only beryllium been left in the furnace?,what kind of beryllium is left in the furnace?
112,dev-112,The ancients recorded by picture writing.,Pictographs were formed step by step.,Pictographs are picture writing.,how were pictographs created?,how were pictographs formed?,how were pictographs formed?,how were pictographs created?,how were pictographs formed?,how were pictographs formed?
113,dev-113,"My car is exposed to the acid rain,.",The paint on my car is clipped.,Acid rain could effect a car's color.,what my car was clipped?,what is the effect of the acid rain?,the to my car?,what my car was clipped?,what is the effect of the acid rain?,the to my car?
114,dev-114,Jane wanted to buy a book full of maps bound together.,She bought some atlases.,Atlases are maps bound together as books.,what type of book did jane want to buy?,why did jane want to buy a book of atlases?,why did jane buy atlases?,what type of book did jane want to buy?,why did jane want to buy a book of atlases?,why did jane buy atlases?
115,dev-115,Mary put the cake into the refrigeratory.,Mary found the cake was rich in moisture the next day.,Refrigeration causes excess moisture.,"when mary put the cake into the refrigerator, what did she do?",why did mary put the cake into the refrigerator?,why did mary put the cake into the refrigerator?,"when mary put the cake into the refrigerator, what did she do?",why did mary put the cake into the refrigerator?,why did mary put the cake into the refrigerator?
116,dev-116,The doctor treated little Tom's autism with medication.,"After three months of treatment, his autism has improved significantly.",Medications play a role in treating an individual with autism.,the doctor did little tom's medication?,did the doctor treat little tom with medication?,how much did little tom's autism improve after three months?,the doctor did little tom's medication?,did the doctor treat little tom with medication?,how much did little tom's autism improve after three months?
117,dev-117,There are many trees with different ages.,They have different textures.,Texture reflects differences.,do trees with different ages have the same textures?,what is the effect of many trees with different ages?,what are the textures of the trees?,do trees with different ages have the same textures?,what is the effect of many trees with different ages?,what are the textures of the trees?
118,dev-118,Surface gauss depends on thickness and size of the magnet.,Gauss strength diminishes the further the distance from the magnetic field.,Gauss refers to the designated strength of a magnetic field of energy.,does gauss strength depend on thickness and size of the magnet?,what is the cause of gauss's effect on the size of the magnet?,because surface gauss strength diminishes the further the distance from the magnetic field?,does gauss strength depend on thickness and size of the magnet?,what is the cause of gauss's effect on the size of the magnet?,because surface gauss strength diminishes the further the distance from the magnetic field?
119,dev-119,This group of Greys have grown up.,They are large.,Greys grow to a large size.,what kind of group of people has grown up large?,what is the cause of a group of greys growing up?,what is the reason for the large size of the group?,what kind of group of people has grown up large?,what is the cause of a group of greys growing up?,what is the reason for the large size of the group?
120,dev-120,The sink has great capacity.,It can hold water up to two liters.,Capacity is measured in liters.,what capacity does the sink have?,what is the cause of the sink having great capacity?,that is why the sink has two liter?,what capacity does the sink have?,what is the cause of the sink having great capacity?,that is why the sink has two liter?
121,dev-121,Jack looks at the shape of the rotifers.,He saw their bilateral symmetry.,Rotifers have bilateral symmetry.,how did jack see the shape of the rotifers?,what was the cause of jack's reaction to the rotifers?,what did jack see about the rotifers?,how did jack see the shape of the rotifers?,what was the cause of jack's reaction to the rotifers?,what did jack see about the rotifers?
122,dev-122,Tom did examinations to see whether he got cancer.,The doctor's diagnosis confirmed his thought.,Examinations confirm diagnoses.,what did tom do to see if he got cancer?,what was the effect of tom doing examinations to see if he got cancer?,what did the doctor say about tom's examinations?,what did tom do to see if he got cancer?,what was the effect of tom doing examinations to see if he got cancer?,what did the doctor say about tom's examinations?
123,dev-123,Tom believes that dogs and wolves belong to the same phylum.,Tom is wrong.,Phyla consist of simple multicellular animals.,does tom believe that dogs and wolves belong to the same phylum?,why does tom believe dogs and wolves belong to the same phylum?,why is tom wrong?,does tom believe that dogs and wolves belong to the same phylum?,why does tom believe dogs and wolves belong to the same phylum?,why is tom wrong?
124,dev-124,The light was off at 10 pm.,My pupils became bigger suddenly.,Pupils change size.,what happened to my pupils when the light was off?,why does The light was off at 10 pm cause My pupils became bigger suddenly?,why does The light was off at 10 pm cause My pupils became bigger suddenly?,what happened to my pupils when the light was off?,why does The light was off at 10 pm cause My pupils became bigger suddenly?,why does The light was off at 10 pm cause My pupils became bigger suddenly?
125,dev-125,Susan is a midwife.,She was specially trained in childbirth.,Midwives are women with specific training in childbirth.,what type of midwife is susan?,what is the cause of susan being a midwife?,how is susan related to the midwife?,what type of midwife is susan?,what is the cause of susan being a midwife?,how is susan related to the midwife?
126,dev-126,He invited his partners to his residence.,They entered his residence.,Partners enter residences.,what was the name of the person who invited his partners to his residence?,what is the cause of a person inviting his partners to his residence?,who invited his partners to his residence?,what was the name of the person who invited his partners to his residence?,what is the cause of a person inviting his partners to his residence?,who invited his partners to his residence?
127,dev-127,"In the humid environment, pecan is easier to grow mold on it.",Pecan should be stored in the relatively dry environment.,Pecans are also prone to infection by fungi especially in humid conditions.,in what humid environment is pecan easier to grow mold on?,what is the effect of pecan being easier to grow mold on?,where should pecan be stored in a relatively dry environment?,in what humid environment is pecan easier to grow mold on?,what is the effect of pecan being easier to grow mold on?,where should pecan be stored in a relatively dry environment?
128,dev-128,This biologist has problems in other scientific fields to solve.,Another bilogist helps him.,Biologists include other scientists.,who helps another bilogist?,what is the effect of a bilogist helping another bilogist?,what does another bilogist help a biologist with?,who helps another bilogist?,what is the effect of a bilogist helping another bilogist?,what does another bilogist help a biologist with?
129,dev-129,Leaders of pyramid schemes are extremely good at instilling their own perceptions to members.,"As time goes by, their influence on members grows stronger and stronger.",Influence is the ability to shape perceptions in people's heads.,leaders of pyramid leaders leaders leaders of pyramid pyramid pyramid pyramid pyramid?,leaders of pyramid schemes instill their own perceptions of what?,does their influence on members increase or decrease as time goes by?,leaders of pyramid leaders leaders leaders of pyramid pyramid pyramid pyramid pyramid?,leaders of pyramid schemes instill their own perceptions of what?,does their influence on members increase or decrease as time goes by?
130,dev-130,Tom was looking for Amphibians in winter.,He could only found some sleeping.,Amphibians hibernate during winter.,what kind of ampbians were tom looking for?,what was the effect of tom looking for amplibians in winter?,was tom able to find some sleep in the winter?,what kind of ampbians were tom looking for?,what was the effect of tom looking for amplibians in winter?,was tom able to find some sleep in the winter?
131,dev-131,The murderer didn't accept himself for a whole life.,He didn't achieve wellness.,Wellness is acceptance of oneself.,the murderer didn the murderer for a whole life?,what cause did the murderer not accept himself for a whole life?,why didn't the murderer achieve wellness?,the murderer didn the murderer for a whole life?,what cause did the murderer not accept himself for a whole life?,why didn't the murderer achieve wellness?
132,dev-132,My pet tom is in the mating season.,He eats very little.,Toms eat very little during mating season.,my pet tom eats very little during the mating season?,what causes my pet tom to eat very little?,does he eat very little during the mating season?,my pet tom eats very little during the mating season?,what causes my pet tom to eat very little?,does he eat very little during the mating season?
133,dev-133,Tom's family go hiking on the plain.,They find mangroves.,Mangroves grow on flat terrains.,what type of mangroves do tom's family find?,why does Tom's family go hiking on the plain cause They find mangroves?,why do they find mangroves?,what type of mangroves do tom's family find?,why does Tom's family go hiking on the plain cause They find mangroves?,why do they find mangroves?
134,dev-134,This kind of bear grew in the forest.,This kind of bear habitates in the forest.,Growth affects bear habitats.,what kind of bear grew in the forest?,what kind of bear grew in the forest?,what kind of bear habitates in the forest?,what kind of bear grew in the forest?,what kind of bear grew in the forest?,what kind of bear habitates in the forest?
135,dev-135,Water with minerals flows in the water mains.,On the surface of water mains is some solid stuff.,Sediment is the result of an accumulation of minerals in the water mains.,what type of water flows on the water mains?,what is the cause of water with minerals flows on the water mains?,water water water water water water?? water???????? water?,what type of water flows on the water mains?,what is the cause of water with minerals flows on the water mains?,water water water water water water?? water???????? water?
136,dev-136,She was particularly fat.,She had been suffering from diabetes.,Diabetes is caused by obesity.,what was the cause of her obesity?,what was the cause of her obesity?,why was she particularly fat?,what was the cause of her obesity?,what was the cause of her obesity?,why was she particularly fat?
137,dev-137,It is in the breeding season.,Testicles descend.,Testicles descend during breeding season.,where do testicles descend?,what causes testicles to descend?,why do testicles descend?,where do testicles descend?,what causes testicles to descend?,why do testicles descend?
138,dev-138,The anaconda saw his food in the forest.,He opened his mouth.,Anacondas swallow their prey whole starting with the head.,how did the anaconda open his mouth?,did the anaconda open his mouth?,why did he open his mouth?,how did the anaconda open his mouth?,did the anaconda open his mouth?,why did he open his mouth?
139,dev-139,The rope connected to my dog was broken.,It ran to other's areas.,Dogs invade areas.,the rope that ran to other areas was broken?,what was the cause of the rope being broken?,my dog's rope ran to other's areas?,the rope that ran to other areas was broken?,what was the cause of the rope being broken?,my dog's rope ran to other's areas?
140,dev-140,Tom was standing in the river and can't move a step.,His legs are entangled in duckweed.,Duckweeds grow in water.,what did tom do in the river?,are tom's legs entangled in the river?,what are tom's legs entangled in?,what did tom do in the river?,are tom's legs entangled in the river?,what are tom's legs entangled in?
141,dev-141,Tom observed the nucleoli of different kinds of chromosomes under the optical microscope.,Tom observed that most of them contain several associated centromeres.,Nucleoli contain at least one usually several associated centromeres.,what did tom observe under the optical microscope?,what is the cause of nucleoli under the optical microscope?,tom observed that most of them contain several associated centromeres?,what did tom observe under the optical microscope?,what is the cause of nucleoli under the optical microscope?,tom observed that most of them contain several associated centromeres?
142,dev-142,The research set specific aspartate sites.,Caspases cleave target proteins.,Caspases cleave target proteins at specific aspartate sites.,the research set specific aspartate sites cleave to targets?,what cause caspases cleave specific aspartate sites?,why do caspases cleave target proteins?,the research set specific aspartate sites cleave to targets?,what cause caspases cleave specific aspartate sites?,why do caspases cleave target proteins?
143,dev-143,We succeed in the end.,Our fate has been changed.,Fate depends on success.,what happens when we succeed in the end?,how is our fate changed?,temeraire's fate has changed because we succeed?,what happens when we succeed in the end?,how is our fate changed?,temeraire's fate has changed because we succeed?
144,dev-144,Some plants are infected by a rare kind of virus.,Their cotyledons are destroyed first.,Cotyledons are the site of primary infection.,some plants are infected by a rare kind of virus such as what?,what is the cause of a rare kind of virus?,why does Some plants are infected by a rare kind of virus cause Their cotyledons are destroyed first?,some plants are infected by a rare kind of virus such as what?,what is the cause of a rare kind of virus?,why does Some plants are infected by a rare kind of virus cause Their cotyledons are destroyed first?
145,dev-145,They went to catch eels today.,Many were found after seeing a leaking head in crevices.,Eels tend to hide in crevices during the day with only their head visible.,where did the people who found the eels go?,what was the cause of many eels being found?,why were many eels found in crevices?,where did the people who found the eels go?,what was the cause of many eels being found?,why were many eels found in crevices?
146,dev-146,Tom's goats were attacked by vampires.,The goats died of blood shortage.,Vampires can drink blood.,what happened to tom's goats?,what was the cause of the death of the goats?,why does Tom's goats were attacked by vampires cause The goats died of blood shortage?,what happened to tom's goats?,what was the cause of the death of the goats?,why does Tom's goats were attacked by vampires cause The goats died of blood shortage?
147,dev-147,This user spent over 8 hours a day at this site.,This user had a high level of stickiness.,Stickiness is a measure of the amount of time a user spends at a site.,what was this user's level of stickiness at this site?,what was the cause of this user's high stickiness?,did this user have a high stickiness or low stickiness?,what was this user's level of stickiness at this site?,what was the cause of this user's high stickiness?,did this user have a high stickiness or low stickiness?
148,dev-148,Lucy gave me a pen.,I bought ink for the pen.,Pens use ink.,what kind of pen did lucy give me?,who gave me a pen?,i bought ink for the pen because lucy gave me a pen?,what kind of pen did lucy give me?,who gave me a pen?,i bought ink for the pen because lucy gave me a pen?
149,dev-149,We need a person skilled in all aspects of construction.,A carpenter will be recruited.,Carpenters are field personnel skilled in all aspects of construction.,who needs to be skilled in all aspects of construction?,what is the cause of the need for a carpenter?,what is the name of a person that is skilled in construction?,who needs to be skilled in all aspects of construction?,what is the cause of the need for a carpenter?,what is the name of a person that is skilled in construction?
150,dev-150,Tom was born and brought up in Indinana.,Tom is American.,Indiana is part of America.,what nationality is tom?,what is tom's nationality?,what nationality is tom?,what nationality is tom?,what is tom's nationality?,what nationality is tom?
151,dev-151,Some enzymes are working on the dead body of a bird.,The body decomposes gradually.,Decomposition is the process of enzymes digesting food.,what are some enzymes working on a dead bird?,what is the effect of some enzymes working on the dead body of a bird?,why does Some enzymes are working on the dead body of a bird cause The body decomposes gradually?,what are some enzymes working on a dead bird?,what is the effect of some enzymes working on the dead body of a bird?,why does Some enzymes are working on the dead body of a bird cause The body decomposes gradually?
152,dev-152,Many goods have been reduced in price recently.,Deflation makes all kinds of shops miserable.,Deflation is a decrease in the general level of prices as measured by some price index.,what has happened to the price of deflation recently?,what is the effect of deflation?,why does Many goods have been reduced in price recently cause Deflation makes all kinds of shops miserable?,what has happened to the price of deflation recently?,what is the effect of deflation?,why does Many goods have been reduced in price recently cause Deflation makes all kinds of shops miserable?
153,dev-153,Judy suffered from tics.,She had involuntary movements in her body.,Tics are involuntary movements in the body.,did judy suffer from tics?,what is the cause of tics?,why did judy have involuntary movements in her body?,did judy suffer from tics?,what is the cause of tics?,why did judy have involuntary movements in her body?
154,dev-154,Tom wants to have a bath.,Tom filled the bath tub with hot water.,Baths are made of warm water.,tom filled the bath with hot water?,why did tom fill the bath tub with hot water?,why did tom fill the bath tub with hot water?,tom filled the bath with hot water?,why did tom fill the bath tub with hot water?,why did tom fill the bath tub with hot water?
155,dev-155,This monster killed a boy.,This monster was pleased.,Killing causes pleasure.,what type of monster was pleased with the death of a boy?,what was the effect of the monster killing a boy?,why does This monster killed a boy cause This monster was pleased?,what type of monster was pleased with the death of a boy?,what was the effect of the monster killing a boy?,why does This monster killed a boy cause This monster was pleased?
156,dev-156,Hardwoods are deciduous.,They lose their leaves each fall.,Hardwoods are deciduous meaning they lose their leaves each fall.,are hardwoods deciduous or deciduous?,what is the koppen classification for hardwoods?,what was the name of the person who lost their leaves each year?,are hardwoods deciduous or deciduous?,what is the koppen classification for hardwoods?,what was the name of the person who lost their leaves each year?
157,dev-157,"Knowing that live plants will release oxygen as they grow, a scientist makes experiments to find more information about their process of growth.",The scientist finds that aeration also accurs as they grow.,Aeration also occurs when live plants release oxygen as they grow.,what does a scientist know about live plants?,what is the cause of live plants releasing oxygen as they grow?,does scientist find that aeration also accurs as they grow?,what does a scientist know about live plants?,what is the cause of live plants releasing oxygen as they grow?,does scientist find that aeration also accurs as they grow?
158,dev-158,John only sells amphetamines.,He only looks for people who have failed other weight loss methods.,Amphetamines are only to be used by people who have failed other weight loss methods.,what does john only sell amphetamines?,why does john only sell amphetamines?,who only looks for people who have failed other weight loss methods?,what does john only sell amphetamines?,why does john only sell amphetamines?,who only looks for people who have failed other weight loss methods?
159,dev-159,The author used Personification to descibe the inanimate object.,The reader felt  as though it had human capacities.,Personification is the description of an inanimate object as though it had human capacities.,what did the author use personification to do for the inani object?,what was the effect of personification on the inanimate object?,did the author feel that the reader had human capacities?,what did the author use personification to do for the inani object?,what was the effect of personification on the inanimate object?,did the author feel that the reader had human capacities?
160,dev-160,They dissected the human ear to see the structure of cochlea.,They found there were  a basilar turn with a cystic cavity.,Cochlea consists of a basilar turn with a cystic cavity.,what is the structure of cochlea called?,what is the cause of dissecting the human ear?,why does They dissected the human ear to see the structure of cochlea cause They found there were  a basilar turn with a cystic cavity?,what is the structure of cochlea called?,what is the cause of dissecting the human ear?,why does They dissected the human ear to see the structure of cochlea cause They found there were  a basilar turn with a cystic cavity?
161,dev-161,His mother carried the decay-causing bacteria and kissed him.,He was infected.,Parents can spread decay-causing bacteria to their children in their saliva.,what was the name of the bacteria?,what was the cause? what what?,what was the name of the person who was infected? what was his name?,what was the name of the bacteria?,what was the cause? what what?,what was the name of the person who was infected? what was his name?
162,dev-162,Oil is lost quickly during drilling.,Workers use acrylamide.,Acrylamides find use in oil-drilling processes to control fluid losses.,what kind of oil is lost during drilling?,what causes oil to be lost during drilling?,why do workers use acrylamide?,what kind of oil is lost during drilling?,what causes oil to be lost during drilling?,why do workers use acrylamide?
163,dev-163,Several moles were introduced into a piece of farmland where harmful insects thrived.,The insects decreased swiftly in number.,Moles help control populations of harmful insects.,moles were introduced into a piece of farmland where harmful insects thrive?,why were several moles introduced into a piece of farmland?,how did the number of insects decrease?,moles were introduced into a piece of farmland where harmful insects thrive?,why were several moles introduced into a piece of farmland?,how did the number of insects decrease?
164,dev-164,Tom's grandmother is a witch.,Many altars have been set up in his courtyard.,Altars are a witches' way of focusing their thoughts similar to prayer.,what is tom's grandmother's name?,what is tom's grandmother's cause?,how many people were set up in his courtyard?,what is tom's grandmother's name?,what is tom's grandmother's cause?,how many people were set up in his courtyard?
165,dev-165,Breast tissue is expected to be activated.,Prolactin is needed.,Prolactin activates breast tissue.,what prolactin is needed?,why does Breast tissue is expected to be activated cause Prolactin is needed?,why is prolactin needed?,what prolactin is needed?,why does Breast tissue is expected to be activated cause Prolactin is needed?,why is prolactin needed?
166,dev-166,Tom was interested in studying movement.,Tom majored in kinesiology.,Kinesiology refers to the study of movement.,what was tom's major?,why was tom interested in kinesiology?,why did tom major in kinesiology?,what was tom's major?,why was tom interested in kinesiology?,why did tom major in kinesiology?
167,dev-167,We came to Pygmy land.,They took us in.,Pygmies share habitats.,where did they take us?,why did people come to pygmy land?,why did they take us in?,where did they take us?,why did people come to pygmy land?,why did they take us in?
168,dev-168,Tom wanted some lahars.,He went to a volcano and got some accumulations of unconsolidated materials on the flanks.,Lahars are accumulations of unconsolidated materials on the flanks of volcanoes.,tom wanted some lahars such as what?,why did tom go to a volcano?,did tomlinson get unconsolidated materials?,tom wanted some lahars such as what?,why did tom go to a volcano?,did tomlinson get unconsolidated materials?
169,dev-169,Tom sweats a lot.,The doctor said he was suffering from a skin disease.,Tinea occurs in people who perspire a lot.,why does Tom sweats a lot cause The doctor said he was suffering from a skin disease?,what was tom's skin disease?,what did tom sweats a lot of?,why does Tom sweats a lot cause The doctor said he was suffering from a skin disease?,what was tom's skin disease?,what did tom sweats a lot of?
170,dev-170,The seller should avoid nature's way of spoiling things like food.,He found ways to prevent oxidation.,Oxidation is nature's way of spoiling things like food.,who should avoid nature's way of spoiling food?,what was the cause of the seller avoiding nature's way of spoiling food?,how did the seller avoid nature's way of spoiling things?,who should avoid nature's way of spoiling food?,what was the cause of the seller avoiding nature's way of spoiling food?,how did the seller avoid nature's way of spoiling things?
171,dev-171,She is the best receptionist in her company.,She is very good at communicating with others.,Receptionists should have communication skills.,what is one of the reasons that she is so good at her job?,why is she the best receptionist in her company?,who is the best receptionist in her company?,what is one of the reasons that she is so good at her job?,why is she the best receptionist in her company?,who is the best receptionist in her company?
172,dev-172,The man took a photo of the bipe.,His friend saw the two small front limbs on that photo.,Bipes has two small front limbs.,what bipe did the man take a photo of?,why did the man take a photo of the bipe?,why did his friend see the two small front limbs on the photo?,what bipe did the man take a photo of?,why did the man take a photo of the bipe?,why did his friend see the two small front limbs on the photo?
173,dev-173,He can't see clearly.,There must be something wrong with the nuclei in his brainstem.,Vision is controlled by groups of cells called nuclei in the brainstem.,why can't he see clearly?,why can't a person see clearly?,why can't he see?,why can't he see clearly?,why can't a person see clearly?,why can't he see?
174,dev-174,Tom has a weak photosensitivity.,He was allergic to the sunshine.,Photosensitivity is a common reaction to the sun.,is tom allergic to the sunshine?,what was the cause of tom's photosensitivity?,why was tom allergic to the sunshine?,is tom allergic to the sunshine?,what was the cause of tom's photosensitivity?,why was tom allergic to the sunshine?
175,dev-175,The researcher marked the different allotropes of sulphur.,The researcher found five types of sulphur.,Sulphur can exist as five different allotropes.,what type of sulphur did the researcher find?,what is the cause of the different allotrops of sulphur?,the researcher found five types of sulphur?,what type of sulphur did the researcher find?,what is the cause of the different allotrops of sulphur?,the researcher found five types of sulphur?
176,dev-176,Bill put oil on the firewood.,The whole kitchen was burnt down more quickly.,Fuel leads to rapid combustion.,what was the effect of the oil on the firewood?,why did the whole kitchen burn down more quickly?,what is the reason of the fire of the house was what was the result of?,what was the effect of the oil on the firewood?,why did the whole kitchen burn down more quickly?,what is the reason of the fire of the house was what was the result of?
177,dev-177,Lucy has suffered from the gonococcal infection when she was pregnant.,The doctor gave him some medicine containing spectinomycin.,Spectinomycin is used to treat certain gonococcal infections during pregnancy.,how did the doctor treat lucy's gonococcal infection?,what is the cause of gonococcal infection?,what did the doctor give him?,how did the doctor treat lucy's gonococcal infection?,what is the cause of gonococcal infection?,what did the doctor give him?
178,dev-178,"A woman got infectious in her wound, which led to bacteremia.",The doctor used antipyretic to treat her fever.,Bacteremia causes a fever but no other specific symptoms.,what was the result of a woman getting infectious in her wound?,what was the cause of bacteremia?,why did the doctor use antipyretic?,what was the result of a woman getting infectious in her wound?,what was the cause of bacteremia?,why did the doctor use antipyretic?
179,dev-179,Jack put amylase into starch.,The breakdown of starch is accelerated.,Amylase catalyses the breakdown of starch.,what did jack do to starch?,what causes the breakdown of starch?,the breakdown of starch is accelerated because jack put amylase into starch?,what did jack do to starch?,what causes the breakdown of starch?,the breakdown of starch is accelerated because jack put amylase into starch?
180,dev-180,Peter likes to go fishing by the lake in spring.,He often catches walleye.,Walleye move in from miles away in early spring to lay their eggs.,what type of walleye does peter catch?,why does peter like to go fishing by the lake?,what kind of walleye does peter catch?,what type of walleye does peter catch?,why does peter like to go fishing by the lake?,what kind of walleye does peter catch?
181,dev-181,Tom suffered from the demyelination many years ago.,He recently was diagnosed with the multiple sclerosis.,Demyelination leads to progressive dysfunction such as seen in multiple sclerosis.,how long ago did tom suffer from demyelination?,what is the cause of tom's illness?,what condition did tom suffer from?,how long ago did tom suffer from demyelination?,what is the cause of tom's illness?,what condition did tom suffer from?
182,dev-182,There are different kinds of weather in different places on the earth.,It is much colder along fault lines.,Colds happen in the winter earthquakes along fault lines hurricaines in the ocean.,what kind of weather does different places on the earth have?,what is the cause of different kinds of weather on the earth?,what is the weather like along fault lines?,what kind of weather does different places on the earth have?,what is the cause of different kinds of weather on the earth?,what is the weather like along fault lines?
183,dev-183,Luke's backbones received outside pressure.,His rigid bones bent.,Bones are rigid but they do bend when outside pressure is applied.,what type of pressure did luke's backbones receive?,what caused luke's rigid bones to be bent?,why were luke's rigid bones bent?,what type of pressure did luke's backbones receive?,what caused luke's rigid bones to be bent?,why were luke's rigid bones bent?
184,dev-184,Gems are precious.,Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom.,Gems are the flowers of the mineral kingdom.,what type of gem is the treasure?,what causes everyone to cherish the gem as a treasure?,why does Gems are precious cause Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom?,what type of gem is the treasure?,what causes everyone to cherish the gem as a treasure?,why does Gems are precious cause Everyone cherishes the gem as the treasure although there are something else in the mineral kingdom?
185,dev-185,Jack is a hairdresser.,His hands were corroded by chemical products.,Hairdressers use chemical products.,what what are a's hands are what? what are a's hands are what?,what is the cause of the accident?,why were jack's hands corroded?,what what are a's hands are what? what are a's hands are what?,what is the cause of the accident?,why were jack's hands corroded?
186,dev-186,Tom submitted my ideas as his own.,He was accused of plagarism.,Plagiarism is the act of submitting another person's ideas as one's own.,who was tom accused of plagarism?,how was tom accused of plagarism?,why was he accused of plagarism?,who was tom accused of plagarism?,how was tom accused of plagarism?,why was he accused of plagarism?
187,dev-187,His eyes were lack in light-gathering agents.,He should eat more carrots which is rich in carotenoids.,Carotenoids are light-gathering agents in the pigments of eyes.,why shouldn't he eat more carrots?,why should he eat more carrots?,are carrots rich in carotenoids?,why shouldn't he eat more carrots?,why should he eat more carrots?,are carrots rich in carotenoids?
188,dev-188,Tom was a homosexual.,He also had basic needs to make love as others.,Homosexuals are human beings with the same basic needs as all human beings.,what type of homosexual was tom?,what caused tom to be a homosexual?,what was tom's basic need to make love?,what type of homosexual was tom?,what caused tom to be a homosexual?,what was tom's basic need to make love?
189,dev-189,Hemingway had a rich life experience.,He produced wonderful literature based on his experience.,Literature is the creative expression of human experience.,what is the name of the school that hemingway attended?,what was the effect of hemingway's rich life experience?,who produced literature based on hemingway's experience?,what is the name of the school that hemingway attended?,what was the effect of hemingway's rich life experience?,who produced literature based on hemingway's experience?
190,dev-190,The patient suffers from post-polio syndrome.,The patient is plagued by weakness.,Weakness is the general symptom of post-polio syndrome.,what is post - polio syndrome?,what is the cause of post - polio syndrome?,what type of patient suffers from post polio syndrome?,what is post - polio syndrome?,what is the cause of post - polio syndrome?,what type of patient suffers from post polio syndrome?
191,dev-191,Tom is taking a course in cryobiology.,"When he does experiments, he needs to freeze the biological specimens in advance for observation.",Cryobiology is the science of preserving biological specimens at low temperatures.,"why does Tom is taking a course in cryobiology cause When he does experiments, he needs to freeze the biological specimens in advance for observation?",what is the cause of tom taking a course in cryobiology?,why does tom need to freeze the biological specimens?,"why does Tom is taking a course in cryobiology cause When he does experiments, he needs to freeze the biological specimens in advance for observation?",what is the cause of tom taking a course in cryobiology?,why does tom need to freeze the biological specimens?
192,dev-192,This house has some infiltration problem.,Temperature in this house can be very low in winter.,Infiltration refers to the leakage of undesired air into the home.,what infiltration problem can be found in this house?,what is the cause of the low temperature in this house?,why does This house has some infiltration problem cause Temperature in this house can be very low in winter?,what infiltration problem can be found in this house?,what is the cause of the low temperature in this house?,why does This house has some infiltration problem cause Temperature in this house can be very low in winter?
193,dev-193,Emily has many beautiful dolls.,Each of them has a fashion hairstyle.,Dolls have heads.,what type of hairstyle does emily have?,what is the cause of a doll's hairstyle?,what is the term for a doll with a fashion hairstyle?,what type of hairstyle does emily have?,what is the cause of a doll's hairstyle?,what is the term for a doll with a fashion hairstyle?
194,dev-194,The physics teacher will explain the nature of current in this lesson.,He talked a lot about current loads.,Current has load.,the physics teacher will explain the nature of current?,what will the physics teacher explain the nature of current loads?,did the physics teacher explain the nature of current loads?,the physics teacher will explain the nature of current?,what will the physics teacher explain the nature of current loads?,did the physics teacher explain the nature of current loads?
195,dev-195,Bob wants to study photosynthesis.,He found many trees with good branches.,Branches dedicate to photosynthesis.,what does bob want to study?,why did bob want to study photosynthesis?,why did bob want to study photosynthesis?,what does bob want to study?,why did bob want to study photosynthesis?,why did bob want to study photosynthesis?
196,dev-196,The customer considered geomancy  very important.,The house selling girl emphasized the spiritual ecology of the house.,Geomancy is spiritual ecology.,what did the house selling girl think geomancy was important?,was geomancy very important to the customer?,what did the house selling girl emphasize?,what did the house selling girl think geomancy was important?,was geomancy very important to the customer?,what did the house selling girl emphasize?
197,dev-197,Seals are mammals.,They can live well in winter.,Seals are protected from the cold by a thick layer of blubber combined with a thick fur coat.,what type of seal can live well in winter?,what is the cause of seals being called mammals?,what was the name of the seal that is a mammal?,what type of seal can live well in winter?,what is the cause of seals being called mammals?,what was the name of the seal that is a mammal?
198,dev-198,His mother has just gone through menopause.,His mother's bone began to lose rapidly.,Women lose bone rapidly after menopause.,what happened to his mother's bone?,what is the effect of his mother's menopause?,what his bone began to lose rapidly?,what happened to his mother's bone?,what is the effect of his mother's menopause?,what his bone began to lose rapidly?
199,dev-199,This disease caused degenerative changes of the myocardium in Tom's heart.,The bulk of the heart's mass was negatively affected.,Myocardium constitutes the bulk of the heart's mass.,what did the disease cause in tom's heart?,what was the cause of the change in the myocardium?,what effect did this disease have on the heart's mass?,what did the disease cause in tom's heart?,what was the cause of the change in the myocardium?,what effect did this disease have on the heart's mass?
200,dev-200,The Father gave my baby immersion.,My baby was baptized.,Immersion is baptism.,what was the name of my baby's father?,what was the cause of my baby being baptized?,why does The Father gave my baby immersion cause My baby was baptized?,what was the name of my baby's father?,what was the cause of my baby being baptized?,why does The Father gave my baby immersion cause My baby was baptized?
201,dev-201,Tom wandered in the early spring.,Tom saw snowdrops.,Snowdrops are the early spring flowering bulbs.,what snowdrops did tom see?,what caused tom to see snowdrops?,why did tom see snowdrops?,what snowdrops did tom see?,what caused tom to see snowdrops?,why did tom see snowdrops?
